id	sell	num_orders	num_items	grand_total	site_domain	site_published	has_blog	has_shoutout	has_get_subscribers	site_pages	facebook_url	facebook_likes	instagram_url	instagram_followers	has_about_page	has_contact_page	has_faq_page	has_blog_page	has_products_page	has_shipping_policy	has_return_policy	has_payment_methods	has_clear_banner	has_clear_cta
000f4ca4-4ba6-4325-adac-870b72c24496	1	68	130	1911	1	1	1	1	0	16	1	483	0	0	1	1	0	1	1	0	0	0	0	0
0022ec67-a400-4116-8a40-234c3908a10d	1	598	728	3444	0	1	0	1	0	5	0	0	0	0	0	1	0	0	1	1	0	1	0	0
0025b1d7-279a-4f08-b838-1c312e840e0a	1	88	105	378	1	1	1	1	1	22	1	499	1	4042	0	1	1	1	1	1	1	1	0	1
0037ee49-ce81-4ec3-a091-ff79fd962374	1	98	144	6422	1	1	1	1	0	15	1	6	1	954	0	1	1	0	1	0	1	0	0	0
0046f145-9235-432e-b29b-cb2ac9cb5113	1	6	7	14	1	1	0	1	1	8	0	0	1	615	1	1	0	0	1	1	1	1	0	0
00488abc-a4ac-4f85-8ea9-d8f3d573eac9	1	82	149	881	1	1	1	1	1	49	1	3096	0	0	1	1	0	1	1	0	1	1	0	0
0049fc22-52e8-45a0-be90-ca3cb4bcd8bf	1	31	42	406	1	1	0	1	0	24	1	5345	0	0	1	1	0	0	1	1	1	1	0	0
006e152f-f80f-4017-8a13-4897bd0ebf79	1	452	466	13560	1	1	1	1	1	20	1	1790	1	63	1	1	1	0	1	0	1	1	0	0
0086e663-e49b-4505-95ad-0c6a708be9a9	1	7	29	32	1	1	0	1	0	12	1	32	1	695	1	1	1	0	1	1	1	1	0	0
0090611a-b159-4e60-a74d-dac3fe3d380b	1	24	25	228	1	1	0	1	1	50	0	0	1	336	1	1	1	0	1	0	1	0	0	0
00959bce-8afe-4d00-8161-ca94537accd4	1	9	9	105	1	1	0	1	0	7	1	1	0	0	1	0	0	0	1	0	0	0	0	0
00978681-6091-4e6f-9757-abff95bd9874	1	11	13	61	1	1	0	1	0	16	1	153	0	0	0	1	0	0	1	1	0	0	0	0
00cdfc37-320b-47ca-83f3-b3f6a425c8fd	1	26	26	63	1	1	1	1	1	32	1	908	0	0	1	1	1	0	1	1	1	1	0	0
0105625e-6c31-4551-820f-e32e4defc111	1	15	15	22	1	1	0	1	1	5	1	44	0	0	0	1	0	0	1	0	1	0	0	0
0116f30c-a936-404c-bde7-4a43141cfbb5	1	23	28	144	1	1	0	1	0	10	1	883	0	0	1	1	0	0	1	1	1	0	0	0
014091fe-9676-4c25-a32f-3786c9e73471	1	57	61	454	1	1	0	1	0	8	1	1702	1	1819	1	1	0	0	1	0	0	0	0	0
01414c61-22c5-44dc-b08b-3ddc70f0f29a	1	169	255	943	1	1	0	0	0	16	1	589	0	0	0	1	0	0	1	1	0	1	0	0
015478ef-aee5-48a0-8691-4836b506fcbf	1	354	628	1221	1	1	1	1	0	20	1	26	1	13283	0	1	0	1	1	0	0	0	0	0
015da58f-6f02-4328-be1c-16c78c9b0562	1	29	38	247	1	1	0	1	1	19	0	0	1	737	1	1	0	0	1	1	0	0	0	0
0186b494-b141-4adc-a60e-ad6e58357fe5	1	29	35	285	1	1	0	1	1	11	1	67	0	0	1	1	0	0	1	1	1	0	0	0
0198ae82-4294-4fac-bdf6-02d51381653e	1	9	13	45	1	1	1	1	1	18	0	0	0	0	1	0	0	1	1	0	0	0	0	0
01ae65f6-fbea-473b-b69a-1fc7a6a3ee0c	1	37	39	49044	1	1	1	1	1	15	1	45447	0	0	0	1	1	0	1	0	0	1	0	0
01b71df5-3bf7-42dc-8fd5-bd2f945901ff	1	19	23	76	1	1	1	1	0	9	1	1422	1	566	1	1	0	1	1	0	0	0	0	1
01c93f12-7c63-4ffa-a3ec-0f533b65aa2c	1	9	9	19	1	1	0	0	0	10	1	426	0	0	1	1	0	0	1	0	0	0	0	0
01d2705a-d221-4f9d-a75a-70e4131bb4c2	1	143	145	2997	1	1	1	1	0	29	1	1392	0	0	1	1	1	1	1	1	1	1	0	0
01db7c7e-5f08-4b9d-8935-a05892aff7a6	1	287	385	19934	1	1	0	1	0	10	0	0	0	0	1	1	0	0	1	0	0	0	0	0
01fec6c3-90d7-4fa2-960d-643e7c42c3f2	1	10	15	53	1	1	0	1	0	17	1	6	0	0	1	1	0	0	1	1	1	0	0	0
0202a118-504e-4a25-abcd-09f2a2ee443e	1	154	253	834	1	1	0	1	1	19	1	3358	0	0	0	1	0	0	1	0	1	0	0	0
0206a476-a11b-4e64-b6a6-b06ecbb17b33	1	13	16	105	1	1	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0
021c7524-9010-436e-bc32-f40305e28fc5	1	14	14	48	1	1	1	1	1	37	1	9944	1	27735	1	1	0	1	1	0	1	1	0	0
021eebe3-58bc-4149-85f8-35031be52aa0	1	29	83	178	1	1	0	1	0	10	1	15	0	0	0	0	0	0	1	0	1	0	0	0
0229d5c3-5692-413e-8e05-28bedf95d72a	1	11	17	20	1	1	0	1	0	15	1	105	1	193	1	1	0	0	1	0	1	0	0	0
022ea3b7-106a-48bb-bf80-d7fc5df199e8	1	20	49	267	1	1	0	0	0	8	1	90	1	83	1	1	0	0	1	0	0	0	0	0
02311e87-07e0-4a9d-b3fd-831cb90353db	1	8	10	30	0	1	0	1	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0240927a-272f-4aea-bf55-1fd1cb04c2fb	1	6	8	482	1	1	0	1	1	22	1	95	1	20	1	1	1	0	1	1	1	0	0	1
0264fc93-eb12-4aa0-94a6-7ba5003274cd	1	64	78	563	1	1	1	1	0	32	1	1037	1	24152	1	1	1	0	1	1	1	1	0	0
0287f4c2-e411-42cc-9143-8a069e86f31f	1	24	29	162	1	1	1	1	0	18	1	66	0	0	1	1	0	0	1	1	1	0	0	0
0291f003-0471-43b4-ae2a-e4d933f40581	1	25	25	76	1	1	1	1	1	20	1	955	1	685	1	1	1	0	1	0	0	1	0	0
02a176ac-30fd-452a-9c23-952a5fd37f47	1	30	30	75	1	1	0	0	0	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0
02ae33d5-f076-44ec-9c18-9dc38978d83b	1	220	273	1878	1	1	0	0	0	15	1	14	0	0	0	0	0	0	1	0	0	0	0	0
02aec0c4-87b1-445f-a242-ceae94a61451	1	32	42	131	1	1	1	1	0	28	1	387	1	744	0	1	0	0	1	0	0	1	0	0
02b81602-e705-4199-9f26-5958d55f7ba1	1	23	38	223	1	1	1	1	0	12	1	35	0	0	0	1	1	0	1	0	0	0	0	0
02be81a0-cee4-4c65-bab7-22ac41405b7c	1	46	76	678	1	1	0	1	0	49	0	0	0	0	1	1	0	0	1	1	1	1	0	0
02bfb341-e43a-4e25-a65b-0a156a377f33	1	237	237	6066	1	1	0	0	0	6	0	0	1	1568	0	1	0	0	1	0	0	0	0	0
02f7b162-fb78-409b-afb8-9219e0e3adae	1	6	14	13	1	1	0	1	1	11	1	128	1	352	0	1	1	0	1	1	1	0	0	1
02ffbb78-5758-42dd-afb0-2dfe777b54f5	1	30	47	225	1	1	0	1	0	15	1	2122	0	0	1	1	1	0	1	1	1	1	0	0
0326e5db-6580-469c-8fff-c355e013a970	1	40	49	129	1	1	1	1	0	14	0	0	1	14100	1	1	0	0	1	0	0	0	0	0
033dcf14-b89b-4796-8ad7-ebe7a764a648	1	8	8	26	1	1	1	0	0	15	1	189	1	276	1	1	0	1	1	0	1	1	0	0
0356d83a-4b55-42ae-8d0a-d20d2a23492f	1	8	8	24	1	1	0	1	0	5	1	473	0	0	0	1	0	0	1	0	0	0	0	0
038367d0-e8d0-4770-b3fb-65fef6d539f3	1	7	10	328	1	1	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0
